codigo_SGO,Identificacao_OAE,UF,Rodovia_(BR),km,Extensao_(m),Largura_(m),Tipo_Estrutura,Latitude,Longitude,Nota_Atual_SGO_(2021),Visita_SR_(Data_Realizada),Data_Inspecao_Realizada,Visita_na_OAE,Faixa_Extensao_OAE,Corredor,Obs.:,Tipo_Inspecao 
20106,Ponte sobre o Rio Maria Bonita,PA,155,"228,92","61,35","8,6",Viga de concreto protendido,-6.28648333,-49.35975,"2",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20124,Ponte sobre o Igarapé Piri,PA,155,"320,52","25","8,6",Mista (viga metálica e laje de concreto),-5.57471667,-49.08033333,"1",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20126,Ponte sobre o Rio Cardoso,PA,155,"252,19","77,13","8,6",Mista (viga metálica e laje de concreto),-6.09706667,-49.34293333,"2",19/03/2026,,,60>OAE<=120m (A3),10,,InR
20128,Ponte sobre o Córrego Peruano,PA,155,"267,84","39,6","8,6",Mista (viga metálica e laje de concreto),-5.99881667,-49.24921667,"3",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20129,Ponte sobre o Igarapé Samauma,PA,155,"314,29","30","8,6",Mista (viga metálica e laje de concreto),-5.62485,-49.09478333,"3",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20130,Ponte sobre o Igarapé Magrela,PA,155,"269,69","25","7,2",Mista (viga metálica e laje de concreto),-5.98611667,-49.23826667,"3",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20132,Ponte sobre o Igarapé Grota da Viada,PA,155,"269,98","24,9","7,2",Mista (viga metálica e laje de concreto),-5.9841,-49.23653333,"2",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20133,Ponte sobre o Igarapé Loirinho,PA,155,"234,25","21,4","8,6",Viga de concreto protendido,-6.23918333,-49.36605,"4",19/03/2026,,,OAE<=20m (A1),10,,InR
20134,Ponte sobre o Igarapé Burro,PA,155,"307,91","25","8,6",Mista (viga metálica e laje de concreto),-5.6747,-49.114,"3",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20135,Ponte sobre o Rio Sororó,PA,155,"313,33","100","8,6",Mista (viga metálica e laje de concreto),-5.63208333,-49.0984,"2",19/03/2026,,,60>OAE<=120m (A3),10,,InR
20136,Ponte sobre o Igarapé Grota da Viada I,PA,155,"270,32","20","7,2",Mista (viga metálica e laje de concreto),-5.98183333,-49.23455,"3",19/03/2026,,,OAE<=20m (A1),10,,InR
20138,Ponte sobre o Rio Mutran,PA,155,"279,1","20","8,6",Mista (viga metálica e laje de concreto),-5.90695,-49.2109,"3",19/03/2026,,,OAE<=20m (A1),10,,InR
20139,Ponte sobre o Igarapé Barreira Branca,PA,155,"304,47","24,9","8,6",Mista (viga metálica e laje de concreto),-5.70211667,-49.12633333,"2",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20140,Ponte sobre o Igarapé Borracheiras,PA,155,"275,1","25","8,6",Mista (viga metálica e laje de concreto),-5.94231667,-49.21838333,"3",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20144,"Viaduto Ferroviário km 343,94",PA,155,"343,94","72,6","6,45",Viga de concreto armado,-5.36561667,-49.07805,"4",19/03/2026,,,60>OAE<=120m (A3),10,,InR
20145,"Viaduto Ferroviário km 343,92",PA,155,"343,92","68,7","6",Mista (viga metálica e laje de concreto),-5.36573333,-49.078,"4",19/03/2026,,,60>OAE<=120m (A3),10,,InR
20151,Ponte sobre o Igarapé Rocha,PA,155,"202,92","24,3","8,9",Viga de concreto protendido,-6.5033,-49.40521667,"4",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20153,Ponte sobre o Igarapé Baixinho,PA,155,"175,87","63","8,7",Mista (viga metálica e laje de concreto),-6.7183,-49.51266667,"2",19/03/2026,,,60>OAE<=120m (A3),10,,InR
20154,Ponte sobre o Igarapé Oliveira,PA,155,"177,09","20,6","8,9",Viga de concreto protendido,-6.7095,-49.50596667,"3",19/03/2026,,,OAE<=20m (A1),10,,InR
20155,Ponte sobre o Igarapé Curupira,PA,155,"233,55","21,4","2,7",Viga de concreto protendido,-6.24523333,-49.36416667,"4",19/03/2026,,,OAE<=20m (A1),10,,InR
20157,Ponte sobre o Igarapé Grota da Onça,PA,155,"294,54","19,6","8,6",Mista (viga metálica e laje de concreto),-5.7778,-49.172,"4",19/03/2026,,,OAE<=20m (A1),10,,InR
20165,Ponte sobre o Igarapé Sapucaia,PA,155,"142,31","30,4","8,6",Viga de concreto armado,-6.94726667,-49.70321667,"2",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20166,Ponte sobre o Ribeirão Água Fria,PA,155,"134,6","44,25","8,95",Viga de concreto protendido,-6.99025,-49.7581,"2",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20169,Ponte sobre o Igarapé Martins,PA,155,"146,04","42","8,6",Viga de concreto protendido,-6.9259,-49.67716667,"2",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20170,Ponte sobre o Igarapé Bodão,PA,155,"164,99","39,8","8,9",Mista (viga metálica e laje de concreto),-6.80626667,-49.55571667,"2",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20171,Ponte sobre o Igarapé Rabecão,PA,155,"125,22","24,3","8,6",Viga de concreto protendido,-7.02868333,-49.83375,"2",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20172,Ponte sobre o Riacho São José,PA,155,"187,76","30","8,9",Viga de concreto armado,-6.6252,-49.45886667,"2",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20173,Ponte sobre o Rio Vermelho I,PA,155,"195,22","24,5","8,6",Mista (viga metálica e laje de concreto),-6.56596667,-49.42638333,"3",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20174,Ponte sobre o Igarapé Xinguara,PA,155,"107,52","24","8,45",Viga de concreto protendido,-7.12993333,-49.94786667,"2",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20181,Ponte sobre o Rio Paudarquinho,PA,155,"10,75","42","8,9",Viga de concreto protendido,-7.94876667,-50.06085,"2",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20182,Ponte sobre o Igarapé Pororoca,PA,155,"135,77","18,7","8,6",Viga de concreto armado,-6.98405,-49.74953333,"2",19/03/2026,,,OAE<=20m (A1),10,,InR
20183,"Ponte km 208,11",PA,155,"208,11","42,4","8,6",Viga de concreto protendido,-6.45678333,-49.40296667,"3",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20186,Ponte sobre o Rio Pau D'Arco,PA,155,"22,64","72","8,9",Viga de concreto protendido,-7.84501667,-50.04508333,"2",19/03/2026,,,60>OAE<=120m (A3),10,,InR
20231,Ponte sobre o Córrego Acaba Saco,PA,155,"3,62","15","8,6",Viga de concreto armado,-8.01156667,-50.0639,"2",19/03/2026,,,OAE<=20m (A1),10,,InR
20234,Ponte sobre o Ribeirão do Fogo,PA,155,"19,82","21,4","8,9",Viga de concreto protendido,-7.87041667,-50.04448333,"4",19/03/2026,,,OAE<=20m (A1),10,,InR
20235,Ponte sobre o Ribeirão Novo,PA,155,"68,02","24","8,9",Viga de concreto protendido,-7.45635,-50.03448333,"3",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20236,Ponte sobre o Córrego Planatal,PA,155,"145,59","24","8,9",Viga de concreto protendido,-6.92825,-49.68051667,"4",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20255,Ponte sobre o Igarapé Gaúcho,PA,155,"276,59","24,9","8,6",Mista (viga metálica e laje de concreto),-5.92915,-49.21588333,"2",19/03/2026,,,20<OAE<=60m (A2),10,,InR
20066,Ponte sobre o Córrego da Anta,PA,158,"882,74","36,35","10,2",Mista (viga metálica e laje de concreto),-9.70685,-50.98395,"1",19/03/2026,,,20<OAE<=60m (A2),9,,InR
20067,Ponte sobre o Igarapé Campo Alegre I,PA,158,"792,68","54,5","10,2",Mista (viga metálica e laje de concreto),-9.38875,-50.42008333,"2",19/03/2026,,,20<OAE<=60m (A2),9,,InR
20068,Ponte sobre o Igarapé Vila Rica,PA,158,"862,42","18,5","10,2",Mista (viga metálica e laje de concreto),-9.59068333,-50.8818,"4",19/03/2026,,,OAE<=20m (A1),9,,InR
20069,Ponte sobre o Córrego Mandi,PA,158,"857,47","36,35","10,2",Mista (viga metálica e laje de concreto),-9.54918333,-50.86848333,"2",19/03/2026,,,20<OAE<=60m (A2),9,,InR
20070,Ponte sobre o Igarapé Antônio,PA,158,"807,85","18,5","10,2",Mista (viga metálica e laje de concreto),-9.52055,-50.45946667,"4",19/03/2026,,,OAE<=20m (A1),9,,InR
20071,Ponte sobre o Igarapé Campo Alegre II,PA,158,"791,87","55","10,2",Mista (viga metálica e laje de concreto),-9.38296667,-50.42316667,"2",19/03/2026,,,20<OAE<=60m (A2),9,,InR
20072,Ponte sobre o Rio Preto,PA,158,"722,51","43,5","8,7",Viga de concreto protendido,-8.97126667,-50.52713333,"2",19/03/2026,,,20<OAE<=60m (A2),9,,InR
20073,Ponte sobre o Rio Inajá,PA,158,"688,51","64","4,4",Viga de concreto protendido,-8.68906667,-50.44073333,"2",19/03/2026,,,60>OAE<=120m (A3),9,,InR
20074,Ponte Inservível sobre o Rio Inajazinho,PA,158,"676,71","49,5","4,4",Viga de concreto protendido,-8.58595,-50.42916667,"2",19/03/2026,,,20<OAE<=60m (A2),9,,InR
20109,"Ponte km 812,04",PA,158,"812,04","18,5","10,2",Mista (viga metálica e laje de concreto),-9.5566,-50.47278333,"3",19/03/2026,,,OAE<=20m (A1),9,,InR
20111,"Ponte km 872,28",PA,158,"872,28","21,5","10,2",Mista (viga metálica e laje de concreto),-9.66875,-50.90055,"2",19/03/2026,,,OAE<=20m (A1),9,,InR
20122,Ponte sobre o Ribeirão do Acampamento,PA,158,"776,73","30,5","8,7",Viga de concreto armado,-9.33616667,-50.32403333,"3",19/03/2026,,,20<OAE<=60m (A2),9,,InR
