NOME;LONGITUDE;LATITUDE;MAIS_SECO
BRASIL NOVO;-52,541111;-3,310278;AGOSTO-SETEMBRO-OUTUBRO
URUARA;-53,554444;-3,677778;JULHO-AGOSTO-SETEMBRO
S-TIO S+O PEDRO;-54,315;-3,872222;JULHO-AGOSTO-SETEMBRO
KM ZERO / PA-70;-47,559444;-4,286944;JULHO-AGOSTO-SETEMBRO
RETA KM-32;-47,270278;-4,828056;JULHO-AGOSTO-SETEMBRO
RONDON DO PAR-;-48,061667;-4,770278;JUNHO-JULHO-AGOSTO
FAZENDA MARCONDES;-54,641944;-3,966389;JULHO-AGOSTO-SETEMBRO
CUPARI;-55,426944;-4,175;JULHO-AGOSTO-SETEMBRO
KM 1385 BR-163;-56,079444;-4,754722;JUNHO-JULHO-AGOSTO
RURUPOLIS PRESIDENTE MEDICI;-54,902778;-4,089444;JULHO-AGOSTO-SETEMBRO
MARABA;-49,125;-5,365556;JUNHO-JULHO-AGOSTO
CAJUEIRO;-54,521111;-5,650278;JUNHO-JULHO-AGOSTO
KM 1326 BR-163;-56,057778;-5,1825;JUNHO-JULHO-AGOSTO
KM 1130  BR-163;-55,495833;-6,671389;JUNHO-JULHO-AGOSTO
JATOBA;-56,855556;-5,154167;JUNHO-JULHO-AGOSTO
FAZENDA SURUBIM;-49,418056;-6,423889;JUNHO-JULHO-AGOSTO
FAZENDA SANTA ELISA;-49,541944;-6,79;JUNHO-JULHO-AGOSTO
ELDORADO;-49,374722;-6,1025;JUNHO-JULHO-AGOSTO
FAZENDA CAICARA;-50,536389;-6,808333;JUNHO-JULHO-AGOSTO
SERRA DOS CARAJ-S - N5;-50,068056;-6,071944;JUNHO-JULHO-AGOSTO
BOA ESPERANÃA (FAZ.OMETO);-51,782778;-6,719167;JUNHO-JULHO-AGOSTO
PROJETO TUCUMA;-51,154722;-6,751389;JUNHO-JULHO-AGOSTO
KM 1027 DA BR-163;-55,261389;-7,506667;JUNHO-JULHO-AGOSTO
JACAREACANGA;-57,775556;-6,235833;JUNHO-JULHO-AGOSTO
CARMO;-50,747778;0,508333;SETEMBRO-OUTUBRO-NOVEMBRO
PORTO ARIRI;-51,126667;0,303611;SETEMBRO-OUTUBRO-NOVEMBRO
